NOM_MUN,TVIVHAB,VPH_S_ELEC
Total de la entidad Nuevo León,1659122,3406
Monterrey,658195,479
Guadalupe,365100,256
Apodaca,363507,102
Juárez,268951,266
General Escobedo,263497,292
San Nicolás de los Garza,243596,88
García,229851,308
Santa Catarina,165885,164
Pesquería,87457,172
San Pedro Garza García,75513,42
Cadereyta Jiménez,74908,136
El Carmen,60105,174
General Zuazua,59310,346
Salinas Victoria,50998,98
Linares,49385,316
Montemorelos,42094,194
Ciénega de Flores,40937,60
Santiago,28950,90
Galeana,22529,270
Sabinas Hidalgo,21659,54
Allende,21434,14
Doctor Arroyo,18543,318
Anáhuac,11138,192
General Terán,9487,108
Hidalgo,9166,32
Aramberri,8628,230
China,6762,236
Cerralvo,4980,74
Hualahuises,4377,18
Los Ramones,3814,20
Mier y Noriega,3771,80
General Bravo,3617,68
Mina,3458,44
General Zaragoza,3380,78
Lampazos de Naranjo,3357,30
Marín,2901,0
Agualeguas,2600,22
Villaldama,2556,10
Bustamante,2408,24
Doctor González,2129,20
Iturbide,2027,54
Abasolo,1615,5
Rayones,1602,28
Los Herreras,1486,16
General Treviño,1339,16
Vallecillo,1174,6
Los Aldamas,1090,3
Doctor Coss,1051,8
Melchor Ocampo,930,4
Higueras,875,24
Parás,690,6
