Municipio,Total,TVIVHAB
Abasolo,2,1615
Agualeguas,6,2600
Allende,10,21434
Anáhuac,10,11138
Apodaca,30,363507
Aramberri,16,8628
Bustamante,2,2408
Cadereyta Jiménez,20,74908
Cerralvo,6,4980
China,6,6762
Ciénega de Flores,4,40937
Doctor Arroyo,38,18543
Doctor Coss,1,1051
Doctor González,3,2129
El Carmen,7,60105
Galeana,36,22529
García,8,229851
General Bravo,4,3617
General Escobedo,19,263497
General Terán,11,9487
General Treviño,2,1339
General Zaragoza,10,3380
General Zuazua,7,59310
Guadalupe,52,365100
Hidalgo,4,9166
Higueras,2,875
Hualahuises,4,4377
Iturbide,4,2027
Juárez,13,268951
Lampazos de Naranjo,6,3357
Linares,29,49385
Los Aldamas,2,1090
Los Herreras,2,1486
Los Ramones,5,3814
Marín,2,2901
Melchor Ocampo,1,930
Mier y Noriega,8,3771
Mina,3,3458
Montemorelos,16,42094
Monterrey,97,658195
Parás,2,
Pesquería,7,87457
Rayones,5,1602
Sabinas Hidalgo,15,21659
Salinas Victoria,9,50998
San Nicolás de los Garza,22,243596
San Pedro Garza García,13,75513
Santa Catarina,13,165885
Santiago,16,28950
Vallecillo,4,1174
Villaldama,6,2556
