municipio,point_count,sum_population_density,mean_population_density
0,29,3092.8801442098334,106.6510394555115
1,591,3434.6116928581155,5.811525707035728
10,155,81037.6500165864,522.8235484941058
11,1927,37446.11957622762,19.4323402056189
12,659,1575.74705072212,2.391118438121578
13,458,4140.587605561114,9.040584291618153
14,111,108287.16979328141,975.5600882277605
15,3144,42495.04252316992,13.516234899227074
16,672,425239.3854360371,632.7967045179123
17,1367,5559.41340476957,4.066871547015047
18,181,509533.40270895,2815.101672425138
19,1909,14852.372185198137,7.780184486746013
2,193,37255.48144282006,193.0335826052853
20,246,1890.7603788249003,7.6860178001012205
21,436,6517.8120661395415,14.949110243439316
22,197,102889.89235063657,522.2837175159217
23,147,673687.7960131001,4582.910176959865
24,95,16836.196333265852,177.22311929753528
25,178,1451.318182491289,8.15347293534432
26,156,7218.025551788139,46.26939456274448
27,257,3416.662917735803,13.294408240217132
28,259,493718.00495396205,1906.2471233743709
29,1872,5576.19291424562,2.9787355311141135
3,2122,18803.45499906987,8.86119462727138
30,2204,88219.54222805338,40.02701552996977
31,463,1382.676639931841,2.9863426348419893
32,435,1975.2009587507423,4.540691859197109
33,1171,5643.945520677335,4.819765602627954
34,234,5846.174328606978,24.983650976952894
35,150,1562.2129938817504,10.414753292545003
36,249,8031.497675422506,32.2550107446687
37,966,6485.16058795296,6.7134167577152795
38,1663,70077.37394023043,42.13913045113075
39,357,1181013.4145708403,3308.160825128404
4,289,665035.03122743,2301.159277603564
40,492,932.4709535551681,1.8952661657625367
41,378,155956.4728374196,412.58326147465505
42,323,2427.292992054842,7.514838984689914
43,985,36037.712815067534,36.58651047214978
44,935,85684.74290346321,91.64143626038846
45,78,436099.09004,5591.013974871795
46,89,135918.80652815,1527.1776014398874
47,549,315766.43940657197,575.1665562961238
48,555,47783.15843442289,86.09578096292412
49,1121,1657.9126703382747,1.478958671131378
5,1252,15510.51587770278,12.388590956631612
50,375,3691.345714021274,9.843588570723398
6,238,3776.972608038336,15.869632806883766
7,1200,128548.67583905987,107.12389653254989
8,727,7527.441529661868,10.354114896371208
9,2480,10461.626076931836,4.218397611666063
