NOM_MUN,TVIVHAB,TVIVPAR,VIVPAR_DES,VPH_C_ELEC,VPH_S_ELEC,VPH_AGUADV,VPH_AEASP,VPH_AGUAFV,VPH_DRENAJ,VPH_NODREN,VPH_C_SERV,pct_sin_electricidad,pct_sin_drenaje,pct_vivienda_deshabitada
Total de la entidad Nuevo León,1659122,1934871,287760,1648592,3406,1639010,1596934,12926,1635903,15468,1627294,0.21,0.93,14.87
Monterrey,658195,659242,68548,651623,479,650544,645108,1524,650444,1330,649041,0.07,0.2,10.4
Guadalupe,365100,400274,41548,364472,256,363666,360788,1058,364224,440,363236,0.07,0.12,10.38
Apodaca,363507,412990,52532,363030,102,362904,362016,216,362912,108,362668,0.03,0.03,12.72
Juárez,268951,349388,74194,268222,266,267604,264310,884,267978,492,267116,0.1,0.18,21.24
General Escobedo,263497,298004,36426,262818,292,261246,257792,1842,262226,720,260512,0.11,0.27,12.22
San Nicolás de los Garza,243596,254762,20092,243248,88,243246,242712,82,243186,62,243068,0.04,0.03,7.89
García,229851,305756,71158,229326,308,228738,226144,898,229142,414,228216,0.13,0.18,23.27
Santa Catarina,165885,169740,13144,164130,164,163840,162932,450,163814,434,163410,0.1,0.26,7.74
Pesquería,87457,112246,20736,87102,172,86884,85624,388,87082,184,86640,0.2,0.21,18.47
San Pedro Garza García,75513,63432,6088,72586,42,72594,72364,36,72556,42,72522,0.06,0.06,9.6
Cadereyta Jiménez,74908,107728,25402,74456,136,73862,66830,730,73932,628,73344,0.18,0.84,23.58
El Carmen,60105,66530,14348,59794,174,59584,58818,352,59728,134,59334,0.29,0.22,21.57
General Zuazua,59310,80896,18526,58858,346,58994,58294,208,59106,64,58718,0.58,0.11,22.9
Salinas Victoria,50998,71156,12758,50692,98,50508,48986,284,50484,306,50252,0.19,0.6,17.93
Linares,49385,63624,8790,48686,316,48176,42208,826,45882,3118,45552,0.64,6.31,13.82
Montemorelos,42094,57872,9608,41444,194,41188,33994,450,39962,1674,39682,0.46,3.98,16.6
Ciénega de Flores,40937,58832,17724,40824,60,40812,40478,64,40756,38,40662,0.15,0.09,30.13
Santiago,28950,35468,5282,28376,90,27984,22750,484,28222,226,27744,0.31,0.78,14.89
Galeana,22529,32648,4618,21970,270,19216,11262,3024,20022,2216,17968,1.2,9.84,14.14
Sabinas Hidalgo,21659,31398,6354,21464,54,21304,20438,214,21196,322,21078,0.25,1.49,20.24
Allende,21434,25556,3010,21352,14,21270,19026,92,21172,166,21096,0.07,0.77,11.78
Doctor Arroyo,18543,26660,4956,18084,318,12868,11696,5534,10358,8044,8708,1.71,43.38,18.59
Anáhuac,11138,15998,3232,10716,192,10542,10030,366,10484,424,10292,1.72,3.81,20.2
General Terán,9487,14912,3496,9152,108,8968,5108,292,8354,906,8246,1.14,9.55,23.44
Hidalgo,9166,11073,1627,9114,32,9043,8806,103,9076,70,8981,0.35,0.76,14.69
Aramberri,8628,12238,1770,8292,230,7944,4076,578,7226,1296,6844,2.67,15.02,14.46
China,6762,11078,1862,6296,236,5968,5370,564,5844,688,5680,3.49,10.17,16.81
Cerralvo,4980,8488,1862,4832,74,4822,4384,84,4798,108,4724,1.49,2.17,21.94
Hualahuises,4377,6714,1530,4304,18,4264,3856,58,4038,284,4024,0.41,6.49,22.79
Los Ramones,3814,9206,2662,3688,20,3592,2452,116,3428,280,3368,0.52,7.34,28.92
Mier y Noriega,3771,5316,1010,3682,80,2984,2538,778,1716,2046,1446,2.12,54.26,19.0
General Bravo,3617,6780,1890,3432,68,3342,3164,158,3318,182,3230,1.88,5.03,27.88
Mina,3458,5422,1008,3364,44,3216,2566,192,3280,128,3100,1.27,3.7,18.59
General Zaragoza,3380,4866,552,3218,78,2616,1588,680,2734,562,2284,2.31,16.63,11.34
Lampazos de Naranjo,3357,6024,1456,3292,30,3264,3074,58,3190,132,3154,0.89,3.93,24.17
Marín,2901,4370,896,2878,0,2860,2714,18,2864,10,2848,0.0,0.34,20.5
Agualeguas,2600,5906,1664,2518,22,2516,2120,24,2472,68,2454,0.85,2.62,28.17
Villaldama,2556,5182,971,2518,10,2482,2319,46,2449,79,2417,0.39,3.09,18.74
Bustamante,2408,4770,778,2264,24,2240,2134,48,2230,58,2212,1.0,2.41,16.31
Doctor González,2129,4200,860,2036,20,1984,1564,72,2002,54,1936,0.94,2.54,20.48
Iturbide,2027,2906,284,1918,54,1934,1054,38,1784,188,1746,2.66,9.27,9.77
Abasolo,1615,2369,498,1589,5,1561,1526,33,1575,19,1551,0.31,1.18,21.02
Rayones,1602,3326,266,1514,28,1482,690,60,1320,222,1288,1.75,13.86,8.0
Los Herreras,1486,3774,1204,1438,16,1424,1328,30,1402,52,1386,1.08,3.5,31.9
General Treviño,1339,2190,476,1300,16,1278,1250,38,1284,32,1262,1.19,2.39,21.74
Vallecillo,1174,2628,934,1118,6,1088,846,36,1022,102,1002,0.51,8.69,35.54
Los Aldamas,1090,3234,1506,1075,3,1056,1034,22,1066,12,1050,0.28,1.1,46.57
Doctor Coss,1051,2488,1046,976,8,952,942,32,936,48,912,0.76,4.57,42.04
Melchor Ocampo,930,1807,442,916,4,910,862,10,908,12,898,0.43,1.29,24.46
Higueras,875,1670,286,816,24,830,756,10,818,22,796,2.74,2.51,17.13
Parás,690,1654,434,658,6,656,542,8,656,8,646,0.87,1.16,26.24
