Municipio,Total
Abasolo,2
Agualeguas,6
Allende,10
Anáhuac,10
Apodaca,30
Aramberri,16
Bustamante,2
Cadereyta Jiménez,20
Cerralvo,6
China,6
Ciénega de Flores,4
Doctor Arroyo,38
Doctor Coss,1
Doctor González,3
El Carmen,7
Galeana,36
García,8
General Bravo,4
General Escobedo,19
General Terán,11
General Treviño,2
General Zaragoza,10
General Zuazua,7
Guadalupe,52
Hidalgo,4
Higueras,2
Hualahuises,4
Iturbide,4
Juárez,13
Lampazos de Naranjo,6
Linares,29
Los Aldamas,2
Los Herreras,2
Los Ramones,5
Marín,2
Melchor Ocampo,1
Mier y Noriega,8
Mina,3
Montemorelos,16
Monterrey,97
Parás,2
Pesquería,7
Rayones,5
Sabinas Hidalgo,15
Salinas Victoria,9
San Nicolás de los Garza,22
San Pedro Garza García,13
Santa Catarina,13
Santiago,16
Vallecillo,4
Villaldama,6
